Modelo,Accuracy,Precisión,Recall,F1-score
A — Perceptrón,0.8359095096734569,0.7840297617496967,0.7372141063049518,0.7554261618782685
B — 1 capa oculta,0.8391851776026206,0.7885490581488794,0.7436178453405202,0.7613919229844577
C — 2 capas ocultas,0.8366260620329614,0.7854367264387393,0.7376851061703803,0.7561952424111071
